"Title:","Regular Grade from the Retail Gasoline Prices Database"
"SubTitle:","USA"
"Time:","09/1990 - 10/2022"
"Unit of Measure:","$/Gal"
"Citation:","Energy Information Administration (2022-11-06). Retail Gasoline Prices: Regular Grade, 09/1990 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-004-004 doi:https://doi.org/10.6068/DP1845F73427020"
"ColumnCount:",2
"RowCount:",384

"Time","Regular Grade ($/Gal)"
"09/1990",1.26
"10/1990",1.34
"11/1990",1.32
"02/1991",1.09
"03/1991",1.04
"04/1991",1.08
"05/1991",1.13
"06/1991",1.13
"07/1991",1.1
"08/1991",1.12
"09/1991",1.11
"10/1991",1.09
"11/1991",1.1
"12/1991",1.08
"01/1992",1.02
"02/1992",1.01
"03/1992",1.01
"04/1992",1.05
"05/1992",1.11
"06/1992",1.15
"07/1992",1.14
"08/1992",1.12
"09/1992",1.12
"10/1992",1.11
"11/1992",1.11
"12/1992",1.08
"01/1993",1.06
"02/1993",1.05
"03/1993",1.05
"04/1993",1.08
"05/1993",1.1
"06/1993",1.1
"07/1993",1.08
"08/1993",1.06
"09/1993",1.05
"10/1993",1.09
"11/1993",1.07
"12/1993",1.01
"01/1994",1
"02/1994",1.01
"03/1994",1.01
"04/1994",1.03
"05/1994",1.05
"06/1994",1.08
"07/1994",1.11
"08/1994",1.16
"09/1994",1.14
"10/1994",1.11
"11/1994",1.12
"12/1994",1.09
"01/1995",1.08
"02/1995",1.07
"03/1995",1.07
"04/1995",1.11
"05/1995",1.18
"06/1995",1.19
"07/1995",1.15
"08/1995",1.12
"09/1995",1.11
"10/1995",1.09
"11/1995",1.06
"12/1995",1.07
"01/1996",1.09
"02/1996",1.09
"03/1996",1.14
"04/1996",1.23
"05/1996",1.28
"06/1996",1.26
"07/1996",1.23
"08/1996",1.21
"09/1996",1.2
"10/1996",1.2
"11/1996",1.23
"12/1996",1.24
"01/1997",1.24
"02/1997",1.23
"03/1997",1.21
"04/1997",1.2
"05/1997",1.2
"06/1997",1.2
"07/1997",1.17
"08/1997",1.22
"09/1997",1.23
"10/1997",1.2
"11/1997",1.17
"12/1997",1.13
"01/1998",1.09
"02/1998",1.05
"03/1998",1.02
"04/1998",1.03
"05/1998",1.06
"06/1998",1.06
"07/1998",1.06
"08/1998",1.03
"09/1998",1.01
"10/1998",1.02
"11/1998",1
"12/1998",0.95
"01/1999",0.94
"02/1999",0.92
"03/1999",0.98
"04/1999",1.13
"05/1999",1.13
"06/1999",1.11
"07/1999",1.16
"08/1999",1.22
"09/1999",1.26
"10/1999",1.24
"11/1999",1.25
"12/1999",1.27
"01/2000",1.29
"02/2000",1.38
"03/2000",1.52
"04/2000",1.47
"05/2000",1.49
"06/2000",1.63
"07/2000",1.55
"08/2000",1.47
"09/2000",1.55
"10/2000",1.53
"11/2000",1.52
"12/2000",1.44
"01/2001",1.45
"02/2001",1.45
"03/2001",1.41
"04/2001",1.55
"05/2001",1.7
"06/2001",1.62
"07/2001",1.42
"08/2001",1.42
"09/2001",1.52
"10/2001",1.32
"11/2001",1.17
"12/2001",1.09
"01/2002",1.11
"02/2002",1.11
"03/2002",1.25
"04/2002",1.4
"05/2002",1.39
"06/2002",1.38
"07/2002",1.4
"08/2002",1.4
"09/2002",1.4
"10/2002",1.45
"11/2002",1.42
"12/2002",1.39
"01/2003",1.46
"02/2003",1.61
"03/2003",1.69
"04/2003",1.59
"05/2003",1.5
"06/2003",1.49
"07/2003",1.51
"08/2003",1.62
"09/2003",1.68
"10/2003",1.56
"11/2003",1.51
"12/2003",1.48
"01/2004",1.57
"02/2004",1.65
"03/2004",1.74
"04/2004",1.8
"05/2004",1.98
"06/2004",1.97
"07/2004",1.91
"08/2004",1.88
"09/2004",1.87
"10/2004",2
"11/2004",1.98
"12/2004",1.84
"01/2005",1.83
"02/2005",1.91
"03/2005",2.08
"04/2005",2.24
"05/2005",2.16
"06/2005",2.16
"07/2005",2.29
"08/2005",2.49
"09/2005",2.9
"10/2005",2.72
"11/2005",2.26
"12/2005",2.19
"01/2006",2.32
"02/2006",2.28
"03/2006",2.42
"04/2006",2.74
"05/2006",2.91
"06/2006",2.89
"07/2006",2.98
"08/2006",2.95
"09/2006",2.56
"10/2006",2.25
"11/2006",2.23
"12/2006",2.31
"01/2007",2.24
"02/2007",2.28
"03/2007",2.56
"04/2007",2.85
"05/2007",3.15
"06/2007",3.06
"07/2007",2.97
"08/2007",2.79
"09/2007",2.8
"10/2007",2.8
"11/2007",3.08
"12/2007",3.02
"01/2008",3.04
"02/2008",3.03
"03/2008",3.24
"04/2008",3.46
"05/2008",3.77
"06/2008",4.05
"07/2008",4.06
"08/2008",3.78
"09/2008",3.7
"10/2008",3.05
"11/2008",2.15
"12/2008",1.69
"01/2009",1.79
"02/2009",1.92
"03/2009",1.96
"04/2009",2.05
"05/2009",2.27
"06/2009",2.63
"07/2009",2.53
"08/2009",2.62
"09/2009",2.55
"10/2009",2.55
"11/2009",2.65
"12/2009",2.61
"01/2010",2.72
"02/2010",2.64
"03/2010",2.77
"04/2010",2.85
"05/2010",2.84
"06/2010",2.73
"07/2010",2.73
"08/2010",2.73
"09/2010",2.71
"10/2010",2.8
"11/2010",2.86
"12/2010",2.99
"01/2011",3.1
"02/2011",3.21
"03/2011",3.56
"04/2011",3.8
"05/2011",3.91
"06/2011",3.68
"07/2011",3.65
"08/2011",3.64
"09/2011",3.61
"10/2011",3.45
"11/2011",3.38
"12/2011",3.27
"01/2012",3.38
"02/2012",3.58
"03/2012",3.85
"04/2012",3.9
"05/2012",3.73
"06/2012",3.54
"07/2012",3.44
"08/2012",3.72
"09/2012",3.85
"10/2012",3.75
"11/2012",3.45
"12/2012",3.31
"01/2013",3.32
"02/2013",3.67
"03/2013",3.71
"04/2013",3.57
"05/2013",3.62
"06/2013",3.63
"07/2013",3.59
"08/2013",3.57
"09/2013",3.53
"10/2013",3.34
"11/2013",3.24
"12/2013",3.28
"01/2014",3.31
"02/2014",3.36
"03/2014",3.53
"04/2014",3.66
"05/2014",3.67
"06/2014",3.69
"07/2014",3.61
"08/2014",3.49
"09/2014",3.41
"10/2014",3.17
"11/2014",2.91
"12/2014",2.54
"01/2015",2.12
"02/2015",2.22
"03/2015",2.46
"04/2015",2.47
"05/2015",2.72
"06/2015",2.8
"07/2015",2.79
"08/2015",2.64
"09/2015",2.37
"10/2015",2.29
"11/2015",2.16
"12/2015",2.04
"01/2016",1.95
"02/2016",1.76
"03/2016",1.97
"04/2016",2.11
"05/2016",2.27
"06/2016",2.37
"07/2016",2.24
"08/2016",2.18
"09/2016",2.22
"10/2016",2.25
"11/2016",2.18
"12/2016",2.25
"01/2017",2.35
"02/2017",2.3
"03/2017",2.33
"04/2017",2.42
"05/2017",2.39
"06/2017",2.35
"07/2017",2.3
"08/2017",2.38
"09/2017",2.65
"10/2017",2.51
"11/2017",2.56
"12/2017",2.48
"01/2018",2.56
"02/2018",2.59
"03/2018",2.59
"04/2018",2.76
"05/2018",2.9
"06/2018",2.89
"07/2018",2.85
"08/2018",2.84
"09/2018",2.84
"10/2018",2.86
"11/2018",2.65
"12/2018",2.37
"01/2019",2.25
"02/2019",2.31
"03/2019",2.52
"04/2019",2.8
"05/2019",2.86
"06/2019",2.72
"07/2019",2.74
"08/2019",2.62
"09/2019",2.59
"10/2019",2.63
"11/2019",2.6
"12/2019",2.56
"01/2020",2.55
"02/2020",2.44
"03/2020",2.23
"04/2020",1.84
"05/2020",1.87
"06/2020",2.08
"07/2020",2.18
"08/2020",2.18
"09/2020",2.18
"10/2020",2.16
"11/2020",2.11
"12/2020",2.19
"01/2021",2.33
"02/2021",2.5
"03/2021",2.81
"04/2021",2.86
"05/2021",2.99
"06/2021",3.06
"07/2021",3.14
"08/2021",3.16
"09/2021",3.18
"10/2021",3.29
"11/2021",3.4
"12/2021",3.31
"01/2022",3.32
"02/2022",3.52
"03/2022",4.22
"04/2022",4.11
"05/2022",4.44
"06/2022",4.93
"07/2022",4.56
"08/2022",3.98
"09/2022",3.7
"10/2022",3.82



"Publisher:", "Energy Information Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."